Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения
Держатели в авто;17;96.0;0.11
Ареометры;17;96.0;0.11
Шампуни для автомобиля;17;473.0;0.47
Тестеры давления масла;17;96.0;0.11
Бачки ГУР;17;473.0;0.47
Блоки цилиндра;17;114.0;0.26
Таблички для авто;17;114.0;0.17
Фильтры масляные;17;96.0;0.11
Огнетушители автомобильные;17;114.0;0.17
Тенты автомобильные;17;592.0;0.7
Краски аэрозольные для автомобиля;17;473.0;0.47
Датчики температуры включения вентилятора;17;114.0;0.26
Светоотражатели для авто;17;96.0;0.11
Бамперы для квадроциклов;17;473.0;0.47
Подставки страховочные;17;114.0;0.17
Муфты на руль;17;79.0;0.06
Турбины для автомобилей;17;114.0;0.17
Накладки на пороги;17;473.0;0.47
Сайлентблоки;17;114.0;0.17
Автомобильные товары;12;315.0;0.47
Насосы маслянные;17;114.0;0.17
Ушки для шлема;17;114.0;0.26
Прокладки головок цилиндра;17;114.0;0.17
Вкладыши коленвала;17;114.0;0.17
Стоп-сигналы;17;96.0;0.11
Глушители;17;473.0;0.47
Кронштейны автомобильные;17;96.0;0.11
Обогреватели автомобильные;17;473.0;0.47
Корпуса термостата;17;114.0;0.17
Коврики автомобильные;17;592.0;0.7
Бамперы для снегоходов;17;473.0;0.47
Подогреватели предпусковые;17;473.0;0.47
Стеклоподъемники;17;114.0;0.17
Ящики навесные для грузовиков;17;473.0;0.47
Вешалки автомобильные;17;96.0;0.11
Подкрылки;17;473.0;0.47
Знаки аварийной остановки;17;96.0;0.11
Поршни двигателя;17;114.0;0.26
Датчики температуры охлаждающей жидкости;17;114.0;0.17
Масла вилочные;17;114.0;0.17
Соединители для коллекторов;17;114.0;0.17
Дистиллированная вода;17;114.0;0.17
Канистры для масел и горючего;17;592.0;0.7
Подшипники ступицы;17;114.0;0.17
Тенты для снегоходов;17;473.0;0.47
Щетки стеклоочистителя;17;114.0;0.17
Смазки автомобильные;17;114.0;0.17
Краски для автомобиля;17;114.0;0.17
Лаки для автомобиля;17;114.0;0.17
Рассухариватели клапанов;17;96.0;0.11
Накладки на лыжи снегохода;17;473.0;0.47
Ключи зажигания;17;79.0;0.06
Маслоохладители автомобильные;17;79.0;0.06
Ручки коробки передач;17;96.0;0.11
Фильтры топливные;17;114.0;0.17
Зеркала автомобильные;17;96.0;0.11
Наборы автомобилиста;17;473.0;0.47
Утеплители радиатора;17;473.0;0.47
Накидки на автосидения для животных;17;592.0;0.7
Другие запчасти для снегоходов;17;473.0;0.47
Распылители для химчистки;17;79.0;0.06
Дневные ходовые огни;17;96.0;0.11
Сигналы звуковые пневмо-электрические;17;473.0;0.47
Багажники автомобильные;17;473.0;0.47
Ключи свечные;17;114.0;0.17
Автокружки;17;96.0;0.11
Фильтры салонные;17;114.0;0.17
Лампы переносные автомобильные;17;96.0;0.11
Противотуманные фары;17;96.0;0.11
Провода прикуривания;17;96.0;0.11
Розетки для фаркопов;17;96.0;0.11
Стартеры ручные;17;114.0;0.17
Вилки для фаркопов;17;96.0;0.11
Ленты капота снегохода;17;114.0;0.17
Лебедки для квадроциклов;17;473.0;0.47
Регуляторы напряжения;17;114.0;0.17
Столбики парковочные;17;1103.0;1.12
Кронштейны запасного колеса для прицепа;17;473.0;0.47
Ремни приводные;17;114.0;0.17
Компрессометры;17;96.0;0.11
Съемники обшивки;17;114.0;0.17
Провода высоковольтные;17;114.0;0.17
Подколенники для ремонта авто;17;114.0;0.17
Ключи баллонные;17;96.0;0.11
Автоиконы;17;114.0;0.17
Технический тальк;17;473.0;0.47
Тросы и ленты для авто;17;96.0;0.11
Фиксаторы распредвала;17;96.0;0.11
Крышки клапанные;17;79.0;0.06
Поддоны для масел;17;473.0;0.47
Автоодеяла;17;473.0;0.47
Столбики с вытяжной лентой;17;473.0;0.47
Съемники клемм аккумулятора;17;114.0;0.17
Амортизаторы для капота;17;96.0;0.11
Передние фары;17;473.0;0.47
Звукопоглощающий материал для авто;17;473.0;0.47
Органайзеры на сиденья;17;96.0;0.11
Насосы для ГСМ;17;114.0;0.17
Замки бортовые;17;114.0;0.17
Конусы дорожные;17;473.0;0.47
Пыльники автомобильные;17;114.0;0.17
Чехлы для багажников;17;96.0;0.11
Петли бортовые;17;114.0;0.17
Дефлекторы;17;473.0;0.47
Другие автозапчасти для мотоциклов;17;114.0;0.17
Лебедки автомобильные;17;473.0;0.47
Салфетки для авто;17;79.0;0.06
Лопаты автомобильные;17;473.0;0.47
Наборы автомобильных инструментов;17;473.0;0.47
Пленки тонировочные;17;473.0;0.47
Шпатлевки для автомобиля;17;114.0;0.17
Страховочные шарики для прицепов;17;473.0;0.47
Багажные боксы;17;473.0;0.47
Средства для очистки рук;17;96.0;0.11
Чехлы на сиденья;17;473.0;0.47
Пояса ветрозащитные;17;114.0;0.17
Рычаги продольные;17;473.0;0.47
Пылесосы автомобильные;17;473.0;0.47
Статоры генератора;17;114.0;0.17
Накладки на закраину диска;17;473.0;0.47
Опоры амортизаторов;17;114.0;0.17
Тягово-сцепные устройства;17;473.0;0.47
Грунтовки для автомобиля;17;473.0;0.47
Вкладыши картера двигателя;17;114.0;0.17
Аксессуары для автокресел;17;473.0;0.47
Насосы подкачивающие;17;114.0;0.17
Тестеры заряда АКБ;17;96.0;0.11
Модули управления центральным замком;17;79.0;0.06
Сальники штока сцепления;17;114.0;0.26
Насадки на глушитель;17;96.0;0.11
Колодки для квадроциклов;17;114.0;0.17
Кронштейны для лебедок;17;473.0;0.47
Устройства для прокалывания отверстий в бампере;17;114.0;0.17
Съемники фильтров;17;96.0;0.11
Накладки на колесные арки;17;79.0;0.06
Конверторы для автомагнитол;17;114.0;0.17
Болты секретные;17;114.0;0.17
Тенты для скутеров;17;114.0;0.17
Цепи ГРМ;17;114.0;0.26
Комплекты ГРМ;17;114.0;0.17
Искусственные дорожные неровности;17;473.0;0.47
Реостаты отопителя;17;114.0;0.17
Багажные сетки;17;96.0;0.11
Шестерни привода масляных насосов;17;114.0;0.17
Воронки автомобильные;17;96.0;0.11
Резисторы автомобильные;17;96.0;0.11
Подлокотники;17;775.0;1.12
Пистолеты топливораздаточные;17;114.0;0.17
Лампы автомобильные;17;79.0;0.06
Фильтры воздушные;17;114.0;0.17
Козырьки для авто;17;96.0;0.11
Свечи зажигания;17;79.0;0.06
Пневмобаллоны для авто;17;114.0;0.17
Тормозные диски автомобильные;17;114.0;0.17
Насосы топливные;17;114.0;0.17
Губки для автомобиля;17;96.0;0.17
Пуско-зарядные устройства;17;473.0;0.47
Хвостики для шлема;17;114.0;0.17
Гайки секретные;17;114.0;0.17
Термостаты двигателя;17;114.0;0.17
Кольца поршневые;17;114.0;0.17
Транспондеры;17;79.0;0.06
Лебедки электрические переносные;17;473.0;0.47
Прокладки крышки ГРМ;17;114.0;0.26
Сирены неавтономные;17;96.0;0.11
Манометры;17;114.0;0.17
Насадки для накачки шин;17;96.0;0.11
Чехлы для водной техники;17;473.0;0.47
Стетоскопы механические;17;114.0;0.17
Коврики для гаража;17;473.0;0.47
Аккумуляторы для автомобилей;17;114.0;0.17
Модули управления стеклоподъемниками;17;79.0;0.06
Пружины подвески;17;96.0;0.11
Прокладки клапанной крышки;17;114.0;0.17
Блоки управления вентилятора;17;114.0;0.17
Амортизаторы автомобильные;17;114.0;0.17
Подкатные тележки для снегохода;17;473.0;0.47
Насосы автомобильные;17;96.0;0.11
Фонари автомобильные;17;114.0;0.17
Тросы подсоса;17;114.0;0.17
Замки зажигания для снегоходов;17;114.0;0.17
Накладки на багажник;17;473.0;0.47
Наклейки на авто;17;96.0;0.11
Блоки с вытяжной лентой;17;473.0;0.47
Стяжные ремни;17;114.0;0.17
Зеркала дорожные;17;114.0;0.17
Подушки автомобильные;17;114.0;0.17
Диски колесные;17;473.0;0.47
Замковые устройства для автоприцепов;17;114.0;0.17
Наконечники рулевой тяги;17;114.0;0.17
Кофеварки автомобильные;17;96.0;0.11
Подогреватели дизельного топлива;17;114.0;0.17
Тестеры искры зажигания;17;114.0;0.17
Съемники шарниров;17;96.0;0.11
Крышки радиатора;17;114.0;0.17
Барьеры парковочные;17;79.0;0.06
Прицепы для квадроциклов;17;473.0;0.47
Лежаки подкатные;17;473.0;0.47
Оплетки на руль;17;114.0;0.17
Блоки розжига ксенона;17;79.0;0.06
Ролики килевые;17;114.0;0.17
Защита сидений;17;473.0;0.47
Шины для мотоциклов;17;473.0;0.47
Тенты для мотоциклов;17;775.0;1.12
Колпаки на колеса;17;592.0;0.7
Трапеции стеклоочистителя;17;114.0;0.17
Уплотнители автомобильные;17;114.0;0.17
Колеса опорные для прицепов;17;473.0;0.47
Брызговики;17;114.0;0.17
Помпы автомобильные;17;114.0;0.17
Буферы тележки снегохода;17;114.0;0.17
Замки зажигания;17;114.0;0.17
Датчики фаз;17;114.0;0.17
Шторки автомобильные;17;473.0;0.47
Оправки;20;114.0;0.17
Украшения для автомобиля;17;592.0;0.7
Оборудование для автомойки;17;473.0;0.47
Проставки для квадроциклов;17;473.0;0.47
Мосты кабельные;17;114.0;0.17
Домкраты;17;473.0;0.47
Ролики обрезиненные;17;114.0;0.17
Катушки зажигания;17;114.0;0.17
Алкотестеры;17;114.0;0.17
Сальники КПП;17;114.0;0.17
Накладки для проема стеклоочистителей;17;79.0;0.06
Антипробуксовочные приспособления;17;473.0;0.47
Аксессуары для автоприцепов;17;473.0;0.47
Тяги рулевые;17;114.0;0.17
Линзы в фары;17;114.0;0.17
Тенты для квадроциклов;17;592.0;0.7
Расширители колесных арок;17;473.0;0.47
Антифризы;17;114.0;0.17
Сервисные книжки автомобиля;17;114.0;0.17
Блоки подготовки воздуха тонкой очистки;17;473.0;0.47
Стяжки пружин;17;96.0;0.11
Аккумуляторы для мотоциклов;17;114.0;0.17
Матрасы для автомобилей;17;473.0;0.47
Автомобильные аптечки;17;96.0;0.11
Подпятники автомобильные;17;96.0;0.11
Присадки в топливо;17;114.0;0.17
Колодки автомобильные;17;114.0;0.17
Адаптеры для щеток стеклоочистителя;17;114.0;0.26
Эмали для автомобиля;17;473.0;0.47
Блоки управления двигателем снегохода;17;114.0;0.17
Шаровые опоры;17;114.0;0.17
Столики автомобильные;17;473.0;0.47
Рамки для номеров;17;96.0;0.11
Другие автоинструменты;17;473.0;0.47
Автомобильные ароматизаторы;17;96.0;0.11
Подставки для мотоциклов;17;473.0;0.47
Фиксаторы пружины;17;114.0;0.26
Очки для водителей;17;96.0;0.11
Чехлы для автомобильных колес;17;114.0;0.17
Датчики положения коленвала;17;114.0;0.17
Комплекты шумоизоляции для авто;17;592.0;0.7
Направляющие суппорта;17;114.0;0.17
Знаки для автомобиля;17;114.0;0.17
Аккумуляторы для автомобильного ключа;17;114.0;0.17
Камеры для шин мотоциклов;17;473.0;0.47
Рычаги поперечные;17;114.0;0.17
Пленки антидождь;17;96.0;0.11
Рожки для шлема;17;114.0;0.17
Рефрактометры;17;96.0;0.11
Автосканеры;17;96.0;0.11
Щетки автомобильные;17;114.0;0.17
Опоры двигателя;17;114.0;0.17
Декоративные детали кузова и бампера;17;473.0;0.47
Сальники водяного насоса;17;114.0;0.26
Чехлы для акпп;17;96.0;0.11
Другие запчасти для квадроциклов;17;473.0;0.47
Другие запчасти для лодок;17;473.0;0.47
Ракели;17;114.0;0.17
Камеры заднего вида;17;96.0;0.11
Сигнализации автомобильные;17;114.0;0.17
Тепловентиляторы автомобильные;17;96.0;0.11
Подсветка автомобильная;17;79.0;0.06
FM-трансмиттеры;17;96.0;0.11
Инверторы автомобильные;17;96.0;0.11
Навигаторы;17;96.0;0.11
Видеорегистраторы для мотоциклов;20;114.0;0.17
Видеорегистраторы автомобильные;17;96.0;0.11
Зарядные станции для электромобилей;17;114.0;0.26
Радар-детекторы;17;96.0;0.11
Сабвуферы автомобильные;17;775.0;1.12
Автомобильные зарядные устройства;17;96.0;0.11
Пульты управления сигнализацией;17;114.0;0.17
Усилители автомобильные;17;473.0;0.47
Магнитолы автомобильные;17;96.0;0.11
Автоэлектроника;12;114.0;0.17
Колонки автомобильные;17;96.0;0.11
Чайники автомобильные;17;114.0;0.17
Парктроники;17;114.0;0.17
Телевизоры автомобильные;17;96.0;0.11
Муфты;23;96.0;0.11
Сумки;23;473.0;0.47
Клатчи;23;96.0;0.11
Часы-кулон;23;96.0;0.11
Маски для сна;23;96.0;0.11
Часы наручные;23;96.0;0.11
Чехлы для смарт-часов;23;79.0;0.06
Платки;23;96.0;0.11
Чехлы для пультов;23;96.0;0.11
Наклейки для техники;23;96.0;0.17
Фиксаторы для очков;23;96.0;0.17
Горжетки;23;96.0;0.11
Рюкзаки;23;592.0;0.7
Чехлы для ноутбуков;23;96.0;0.11
Снуды;23;96.0;0.11
Монетницы;23;96.0;0.11
Чемоданы;23;775.0;1.12
Чехлы для галстуков;23;96.0;0.11
Чехлы для ножей;23;96.0;0.11
Парео;23;96.0;0.11
Кошельки;23;96.0;0.11
Носовые платки;23;96.0;0.11
Чехлы для камер;23;96.0;0.11
Чехлы для стиральных машин;23;96.0;0.11
Ремни для чемоданов;23;96.0;0.11
Маски для сна 18+;23;96.0;0.11
Чехлы для зонтов;23;96.0;0.17
Замки багажные;23;96.0;0.11
Шарфы;23;96.0;0.11
Пряжки;23;96.0;0.11
Декор для одежды;23;79.0;0.06
Папки-сумки;23;96.0;0.11
Чехлы для игровых консолей;23;96.0;0.11
Солнцезащитные очки 18+;23;96.0;0.11
Чехлы для стилусов;23;96.0;0.11
Другие аксессуары для багажа;23;473.0;0.47
Брелоки для автомобильных ключей;23;96.0;0.11
Чехлы для флешек;23;79.0;0.06
Фурнитура для чемоданов;23;96.0;0.11
Накладные плечи;23;79.0;0.06
Багажные бирки;23;79.0;0.09
Чехлы для сумок и рюкзаков;23;96.0;0.11
Пояса;23;79.0;0.06
Футляры для очков;23;96.0;0.11
Шнурки для очков;23;96.0;0.17
Футляры для защитных масок;23;114.0;0.26
Чехлы для планшетов;23;96.0;0.11
Воротники;23;96.0;0.11
Обложки;23;96.0;0.11
Футляры для зарядного кабеля;23;114.0;0.17
Чехлы для чайников;23;79.0;0.06
Зонты;23;96.0;0.11
Чехлы для сплит-систем;23;96.0;0.11
Шнурки для телефонов;23;96.0;0.11
Косточки для воротника рубашки;23;96.0;0.11
Дубинки резиновые;23;114.0;0.17
Наручники;23;114.0;0.17
Перчатки;23;96.0;0.11
Чехлы для бритв;23;96.0;0.11
Чехлы для мини-кинотеатров;23;96.0;0.11
Ключницы;23;96.0;0.11
Чехлы для ножниц;23;79.0;0.06
Чехлы для ручек;23;96.0;0.11
Тату-рукава;23;96.0;0.11
Бирки для ключей;23;79.0;0.09
Подворотнички одноразовые;23;96.0;0.17
Аксессуары;18;96.0;0.11
Сумки-тележки;23;473.0;0.47
Варежки;23;96.0;0.11
Декор для сумок и рюкзаков;23;79.0;0.09
Ремни для фотоаппаратов;23;79.0;0.06
Портупеи;23;96.0;0.11
Часы карманные;23;96.0;0.11
Подтяжки;23;96.0;0.11
Шапки для сна;23;79.0;0.06
Рюкзаки для фотоаппаратов;23;473.0;0.47
Ремни для сумок;23;96.0;0.11
Манишки;23;96.0;0.11
Косметички;23;96.0;0.11
Очки для ювелирных работ;23;96.0;0.11
Имиджевые очки;23;96.0;0.11
Зажимы для денег;23;96.0;0.11
Держатели для масок;23;96.0;0.17
Цепочки для очков;23;96.0;0.11
Пленка багажная;23;473.0;0.47
Ранцы;23;592.0;0.7
Чехлы для трекеров;23;96.0;0.11
Чехлы для DJ оборудования;23;79.0;0.06
Тележки для ранцев;23;592.0;0.7
Визитницы;23;96.0;0.11
Очки для компьютера;23;96.0;0.11
Уход за очками;23;79.0;0.06
Чехлы для презервативов;23;96.0;0.11
Органайзеры для сумки;23;114.0;0.17
Браслеты для часов;23;79.0;0.06
Фильтры для масок ветрозащитных;23;96.0;0.11
Очки глаукомные;23;96.0;0.11
Чехлы для чемоданов;23;96.0;0.11
Клипсы для брюк;23;79.0;0.09
Темляки;23;96.0;0.11
Армбенды;23;96.0;0.11
Держатели для очков;23;96.0;0.11
Шарфы-пледы;23;96.0;0.11
Штрипки для брюк;23;96.0;0.17
Солнцезащитные очки;23;96.0;0.11
Подкладки для сумок;23;775.0;1.12
Зеркальца;23;79.0;0.06
Веера;23;96.0;0.11
Манжеты;23;96.0;0.11
Линзы для очков;23;96.0;0.11
Защитные кейсы;23;96.0;0.11
Баски;23;96.0;0.11
Портфели;23;473.0;0.47
Обложки 18+;23;96.0;0.17
Фата;23;96.0;0.11
Шали;23;96.0;0.11
Кейсы для портативных колонок;23;114.0;0.17
Митенки;23;96.0;0.11
Оправа;23;96.0;0.11
Несессеры;23;96.0;0.11
Очки корригирующие;23;96.0;0.11
Бабочки;23;79.0;0.06
Резинки для варежек и перчаток;23;79.0;0.06
Штифты для ремешков;23;114.0;0.17
Чехлы для брелоков автомобильной сигнализации;23;96.0;0.11
Кредитницы;23;96.0;0.11
Банданы;23;79.0;0.09
Ручки для сумок;23;96.0;0.11
Ремешки для пульсометров;23;96.0;0.11
Разделители для рюкзаков;23;96.0;0.11
Ремни;23;96.0;0.11
Заглушки для гаджетов;23;79.0;0.06
Растяжители для одежды;23;473.0;0.47
Сумки для ноутбуков;23;473.0;0.47
Палантины;23;96.0;0.11
Чехлы для радиостанций;23;96.0;0.11
Сумки хозяйственные;23;96.0;0.11
Сменные ножки для игровой мыши;23;96.0;0.11
Галстуки;23;96.0;0.11
Рукава;23;96.0;0.11
Повязки для волос;20;96.0;0.17
Шпильки-спиральки;20;96.0;0.17
Резинки;20;96.0;0.17
Спирали для прически;20;96.0;0.17
Ободки;20;96.0;0.11
Сетки для волос;20;79.0;0.09
Заколки-автомат;20;79.0;0.06
Подкладки для объема волос;20;96.0;0.11
Невидимки;20;79.0;0.09
Китайские палочки для волос;20;96.0;0.11
Диадемы;20;96.0;0.11
Твистеры;20;96.0;0.17
Заколки-бананы;20;96.0;0.17
Шпильки;20;96.0;0.17
Банты;20;96.0;0.11
Заколки клик-клак;20;79.0;0.09
Аксессуары для волос;15;79.0;0.06
Приспособления для плетения кос;20;96.0;0.17
Гребни;20;79.0;0.06
Бублики для волос;20;79.0;0.09
Парики;20;96.0;0.11
Зажимы;20;96.0;0.11
Наборы аксессуаров для волос;20;79.0;0.06
Крабы;20;96.0;0.17
Шиньоны;20;96.0;0.11
Канекалон;20;114.0;0.17
Тики;20;96.0;0.11
Шляпы для малышей;20;96.0;0.11
Бейсболки для малышей;20;96.0;0.11
Снуды для малышей;20;79.0;0.06
Кепи для малышей;20;96.0;0.11
Банданы для малышей;20;79.0;0.06
Антицарапки;20;96.0;0.17
Капоры для малышей;20;96.0;0.11
Шапки-шлемы для малышей;20;96.0;0.11
Шапки для малышей;20;96.0;0.11
Панамы для малышей;20;96.0;0.11
Аксессуары для малышей;15;96.0;0.11
Варежки для малышей;20;96.0;0.11
Чепчики;20;96.0;0.11
Шапки-ушанки для малышей;20;96.0;0.11
Перчатки для малышей;20;96.0;0.11
Повязки на голову для малышей;20;96.0;0.11
Береты для малышей;20;96.0;0.11
Салфетки для обуви;17;79.0;0.09
Полустельки;17;96.0;0.17
Шнурки;17;96.0;0.17
Приспособления для шнуровки;17;79.0;0.06
Воск для обуви;17;79.0;0.09
Гелевые полустельки;17;79.0;0.09
Блески для обуви;17;96.0;0.11
Шампуни для обуви;17;96.0;0.11
Жидкости для обуви;17;96.0;0.11
Гелевые полоски;17;79.0;0.09
Сниматели для обуви;17;96.0;0.11
Жиры для обуви;17;79.0;0.06
Стельки;17;96.0;0.11
Подкладки для обуви;17;79.0;0.06
Масла для обуви;17;79.0;0.06
Автопятки;17;96.0;0.11
Рожки обувные;17;96.0;0.11
Подошва для обуви;17;79.0;0.06
Пяткоудерживатели;17;79.0;0.09
Гелевые подушечки;17;79.0;0.09
Дезодоранты для обуви;17;96.0;0.11
Растяжители для обуви;17;96.0;0.11
Силиконовая защита для пяток;17;96.0;0.17
Щетки для обуви;17;96.0;0.17
Пены для обуви;17;79.0;0.06
Аксессуары для обуви;12;79.0;0.06
Дождевики для обуви;17;96.0;0.11
Накладки для обуви;17;96.0;0.11
Полироли для обуви;17;96.0;0.11
Украшения для обуви;17;96.0;0.11
Пропитки для обуви;17;96.0;0.11
Чехлы для обуви;17;114.0;0.17
Чехлы для рожков;17;96.0;0.11
Лосьоны для обуви;17;79.0;0.06
Колодки обувные;17;96.0;0.11
Гели для обуви;17;114.0;0.17
Вкладыши для сапог;20;79.0;0.06
Гелевые вставки;17;96.0;0.17
Формодержатели;17;96.0;0.17
Губки для обуви;17;96.0;0.17
Зажимы для шнурков;17;79.0;0.06
Ластики для обуви;17;79.0;0.06
Спреи для обуви;17;96.0;0.11
Наборы для ухода за обувью;17;96.0;0.11
Накаблучники;17;79.0;0.06
Мешки для обуви;17;96.0;0.11
Гелевые стельки;17;96.0;0.11
Кремы для обуви;17;96.0;0.11
Краски для обуви;17;79.0;0.06
Текила;20;114.0;0.17
Ликер;20;114.0;0.17
Аквавит;20;114.0;0.17
Вина;15;96.0;0.11
Мескаль;20;114.0;0.17
Коньяк;20;114.0;0.17
Саке;20;114.0;0.17
Коктейли алкогольные;20;114.0;0.17
Граппа;20;114.0;0.17
Абсент;20;114.0;0.17
Сидр;15;96.0;0.11
Шампанское;20;114.0;0.17
Ром;20;114.0;0.17
Бренди;20;114.0;0.17
Кальвадос;20;114.0;0.17
Арманьяк;20;114.0;0.17
Пунш;20;114.0;0.17
Пиво;15;96.0;0.17
Бальзамы алкогольные;20;114.0;0.17
Вина игристые;15;96.0;0.11
Водка;20;114.0;0.26
Биттер;20;114.0;0.17
Джин;20;114.0;0.17
Настойки;20;114.0;0.17
Алкогольная продукция;10;114.0;0.17
Виски;20;114.0;0.17
Кашаса;20;114.0;0.17
Термободи;23;96.0;0.11
Подтяжки для чулок;23;96.0;0.17
Подследники;23;79.0;0.06
Колготки;23;79.0;0.06
Пояса для чулок;23;79.0;0.06
Бретели;23;79.0;0.09
Косточки для бюстгальтера;23;96.0;0.17
Термолонгсливы;23;79.0;0.06
Термоноски;23;79.0;0.06
Вкладыши пуш-ап;23;79.0;0.06
Корсажи;23;96.0;0.11
Расширители для бюстгальтера;23;79.0;0.09
Подвязки;23;79.0;0.06
Леггинсы купальные;23;96.0;0.11
Боди;23;79.0;0.06
Термошорты;23;79.0;0.06
Буркини;23;79.0;0.06
Клипсы для бюстгальтера;23;79.0;0.09
Трусы;23;96.0;0.11
Подтяжки для носков;23;96.0;0.11
Слитные купальники;23;79.0;0.06
Танкини;23;79.0;0.06
Грации;23;79.0;0.06
Чашки для бюстгальтера;23;96.0;0.11
Раздельные купальники;23;96.0;0.11
Термофутболки;23;79.0;0.06
Бандалетки;23;79.0;0.06
Накладки для ног;23;79.0;0.06
Майки бельевые;23;96.0;0.11
Гольфы;23;79.0;0.06
Пэстис;23;79.0;0.06
Термомайки;23;79.0;0.06
Кальсоны;23;79.0;0.06
Гетры;23;79.0;0.06
Нижние юбки;23;79.0;0.06
Украшения для белья;23;79.0;0.09
Костюмы купальные;23;79.0;0.06
Комбидресс;23;79.0;0.06
Термоджемперы;23;96.0;0.11
Подтяжки для рубашек;23;96.0;0.11
Бюстгальтеры;23;96.0;0.11
Термоводолазки;23;79.0;0.06
Термоколготки;23;79.0;0.06
Бюстье;23;79.0;0.06
Стрипсы для декольте;23;96.0;0.11
Торсеты;23;79.0;0.06
Лифы для купальника;23;96.0;0.11
Леггинсы ч/н;23;79.0;0.06
Термокомбинезоны;23;79.0;0.06
Соединители бретелей;23;96.0;0.17
Корсеты;23;96.0;0.11
Белье;18;79.0;0.06
Термотрусы;23;96.0;0.11
Плавки;23;79.0;0.06
Монокини;23;79.0;0.06
Скотч для поддержания белья;23;96.0;0.11
Комбинации;23;79.0;0.06
Неглиже;23;79.0;0.06
Подкладки для бретелей;23;79.0;0.09
Ленты для груди;23;114.0;0.17
Комплекты белья;23;96.0;0.11
Носки;23;79.0;0.06
Термокомплекты;23;79.0;0.06
Комбинезоны купальные;23;79.0;0.06
Чулки;23;79.0;0.06
Бордшорты;23;79.0;0.06
Термошорты для малышей;20;79.0;0.06
Термоколготки для малышей;20;96.0;0.17
Термотрусы для малышей;20;96.0;0.17
Термоводолазки для малышей;20;96.0;0.11
Колготки для малышей;20;79.0;0.06
Термоноски для малышей;20;79.0;0.06
Кальсоны для малышей;20;79.0;0.06
Слитные купальники для малышей;20;79.0;0.06
Боди для малышей;20;79.0;0.06
Раздельные купальники для малышей;20;79.0;0.06
Гольфы для малышей;20;79.0;0.06
Термофутболки для малышей;20;96.0;0.17
Майки бельевые для малышей;20;79.0;0.06
Термолонгсливы для малышей;20;96.0;0.17
Носки для малышей;20;79.0;0.06
Комплекты белья для малышей;20;79.0;0.06
Термомайки для малышей;20;96.0;0.11
